app,bitGen,bitGen_norm,HS-1T,HS-1T_norm,HS-MT,HS-MT_norm,ngAP,ngAP_norm,icgrep,icgrep_norm
Brill,91.8,1.0,3.2,28.687499999999996,4.9,18.734693877551017,3.4,27.0,0.8,114.74999999999999
ClamAV,1011.7,1.0,86.3,11.723059096176131,94.2,10.739915074309978,2.6,389.11538461538464,24.3,41.63374485596708
Dotstar,753.8,1.0,85.3,8.83704572098476,104.0,7.248076923076923,44.4,16.97747747747748,9.4,80.19148936170212
Protomata,10.7,1.0,1.0,10.7,3.0,3.5666666666666664,6.2,1.725806451612903,0.7,15.285714285714286
Snort,367.7,1.0,32.4,11.348765432098766,33.9,10.84660766961652,43.0,8.551162790697674,6.1,60.278688524590166
Yara,532.6,1.0,341.3,1.560503955464401,341.3,1.560503955464401,20.1,26.497512437810943,1.1,484.1818181818182
Bro217,2288.1,1.0,362.1,6.318972659486329,362.1,6.318972659486329,107.0,21.384112149532708,82.5,27.734545454545454
ExactMatch,1899.3,1.0,1212.1,1.5669499216236285,1212.1,1.5669499216236285,98.9,19.204246713852374,32.7,58.08256880733944
Ranges1,1280.2,1.0,156.7,8.169751116783663,156.7,8.169751116783663,101.6,12.600393700787402,32.1,39.8816199376947
TCP,1864.4,1.0,361.4,5.158826784726066,361.4,5.158826784726066,102.5,18.18926829268293,57.0,32.708771929824564
gmean,522.674680026946,1.0,76.053905798766,6.872423901671943,91.56218931487997,5.708411779337009,27.321774843215966,19.130334066006963,9.177040035849888,56.95460387936958
